CO37:, $75.47, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO26:, $156.07, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO81:, $54.49, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO84:, $39.73, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO78:, $17.57, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO65:, $73.99, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO44:, $11.5, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO01:, $29.57, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO53:, $30.95, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO00:, $51.99, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO42:, $18.88, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO31:, $82.59, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO45:, $28.08, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO16:, $98.79, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO33:, $88.09, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO85:, $64.25, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO17:, $54.87, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO59:, $80.46, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO94:, $57.44, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO89:, $95.93, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO90:, $46.67, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO04:, $54.1, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO71:, $55.78, Window: 2024-09-18 07:26:00 - 2024-09-18 07:26:30
CO84:, $80.57, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO31:, $46.93, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO33:, $77.16, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO90:, $49.89, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO56:, $17.64, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO92:, $40.76, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO74:, $33.12, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO57:, $31.5, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO22:, $47.07, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO21:, $54.55, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO23:, $49.78, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
CO63:, $48.86, Window: 2024-09-18 07:26:30 - 2024-09-18 07:27:00
